fecha,value
2023-04-05 15:01:23,4570.4939
2023-04-05 15:01:46,4570.5063
2023-04-05 15:02:40,4570.5125
2023-04-05 15:02:53,4570.5249
2023-04-05 15:03:42,4570.5373
2023-04-05 15:03:43,4570.5496
2023-04-05 15:03:45,4570.5681
2023-04-05 15:03:46,4570.5803
2023-04-05 15:03:47,4570.5925
2023-04-05 15:04:03,4570.5986
2023-04-05 15:04:04,4570.6046
2023-04-05 15:06:14,4570.6115
2023-04-05 15:06:16,4570.6187
2023-04-05 15:06:18,4570.6266
2023-04-05 15:06:23,4570.6345
2023-04-05 15:06:25,4570.6425
2023-04-05 15:06:26,4570.6504
2023-04-05 15:07:02,4570.6908
2023-04-05 15:08:59,4570.7442
2023-04-05 15:09:32,4570.7902
2023-04-05 15:09:37,4570.7971
2023-04-05 15:09:38,4570.8123
2023-04-05 15:10:07,4570.8799
2023-04-05 15:10:09,4570.9028
2023-04-05 15:10:10,4570.9182
2023-04-05 15:10:11,4570.9259
2023-04-05 15:10:21,4570.9483
2023-04-05 15:12:42,4570.975
2023-04-05 15:12:46,4570.9884
2023-04-05 15:12:47,4571.0675
2023-04-05 15:12:49,4571.0935
2023-04-05 15:12:50,4571.1708
2023-04-05 15:13:12,4571.1931
2023-04-05 15:13:13,4571.1985
2023-04-05 15:13:14,4571.2091
2023-04-05 15:13:15,4571.2196
2023-04-05 15:13:16,4571.2383
2023-04-05 15:13:17,4571.2557
2023-04-05 15:13:42,4571.263
2023-04-05 15:13:43,4571.2665
2023-04-05 15:13:45,4571.2693
2023-04-05 15:13:46,4571.2719
2023-04-05 15:13:47,4571.2745
2023-04-05 15:14:24,4571.2824
2023-04-05 15:14:26,4571.285
2023-04-05 15:14:28,4571.2877
2023-04-05 15:15:14,4571.2902
2023-04-05 15:15:23,4571.3036
2023-04-05 15:15:24,4571.308
2023-04-05 15:15:58,4571.3184
2023-04-05 15:16:15,4571.3312
2023-04-05 15:16:17,4571.3336
2023-04-05 15:16:23,4571.338
2023-04-05 15:16:24,4571.3421
2023-04-05 15:16:25,4571.3458
2023-04-05 15:16:26,4571.3471
2023-04-05 15:17:01,4571.3492
2023-04-05 15:17:34,4571.3576
2023-04-05 15:17:38,4571.3586
2023-04-05 15:17:47,4571.3637
2023-04-05 15:17:49,4571.3643
2023-04-05 15:17:59,4571.364
2023-04-05 15:18:23,4571.3638
2023-04-05 15:18:26,4571.3636
2023-04-05 15:18:50,4571.3629
2023-04-05 15:18:58,4571.3614
2023-04-05 15:19:01,4571.3597
2023-04-05 15:19:02,4571.3588
2023-04-05 15:19:04,4571.357
2023-04-05 15:20:07,4571.355
2023-04-05 15:20:09,4571.353
2023-04-05 15:20:11,4571.3511
2023-04-05 15:20:13,4571.3491
2023-04-05 15:21:55,4571.3482
2023-04-05 15:22:16,4571.348
2023-04-05 15:23:41,4571.3445
2023-04-05 15:23:42,4571.3445
2023-04-05 15:23:46,4571.3445
2023-04-05 15:23:56,4571.3446
2023-04-05 15:23:59,4571.3449
2023-04-05 15:24:04,4571.3449
2023-04-05 15:24:06,4571.3449
2023-04-05 15:24:11,4571.345
2023-04-05 15:24:12,4571.3462
2023-04-05 15:24:23,4571.3472
2023-04-05 15:24:52,4571.3481
2023-04-05 15:25:21,4571.3479
2023-04-05 15:28:11,4571.3489
2023-04-05 15:28:13,4571.35
2023-04-05 15:28:23,4571.3535
2023-04-05 15:29:00,4571.3555
2023-04-05 15:29:13,4571.3578
2023-04-05 15:29:57,4571.36
2023-04-05 15:30:13,4571.3644
2023-04-05 15:30:14,4571.3667
2023-04-05 15:30:15,4571.3711
2023-04-05 15:30:29,4571.4148
2023-04-05 15:31:27,4571.4207
2023-04-05 15:32:03,4571.4239
2023-04-05 15:32:04,4571.4256
2023-04-05 15:32:53,4571.4168
2023-04-05 15:32:56,4571.4157
2023-04-05 15:33:02,4571.4148
2023-04-05 15:33:03,4571.4131
2023-04-05 15:33:38,4571.4123
2023-04-05 15:33:39,4571.4114
2023-04-05 15:33:48,4571.4094
2023-04-05 15:33:53,4571.4085
2023-04-05 15:35:15,4571.4076
2023-04-05 15:35:19,4571.4067
2023-04-05 15:35:21,4571.4057
2023-04-05 15:36:49,4571.4048
2023-04-05 15:37:23,4571.4041
2023-04-05 15:38:10,4571.4034
2023-04-05 15:38:19,4571.4025
2023-04-05 15:38:20,4571.3909
2023-04-05 15:38:22,4571.3885
2023-04-05 15:38:29,4571.3849
2023-04-05 15:39:05,4571.382
2023-04-05 15:39:59,4571.3808
2023-04-05 15:40:01,4571.3794
2023-04-05 15:40:02,4571.3679
2023-04-05 15:40:03,4571.3663
2023-04-05 15:40:08,4571.3647
2023-04-05 15:40:09,4571.3616
2023-04-05 15:40:10,4571.36
2023-04-05 15:40:21,4571.3582
2023-04-05 15:40:28,4571.3548
2023-04-05 15:40:29,4571.3531
